################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.8712187823393787E-02 a         1     0     1     1     1
  7.0606853482385351E-02 a         2     0     1     1     2
 -3.7964835262492408E-01 a         3     0     1     1     3
  6.9083764615720555E-01 a         4     0     1     1     4
 -2.9951173148124227E-01 a         5     0     1     1     5
  3.3459515726413974E-01 a         6     0     1     1     6
  3.9632571870132860E-02 a         7     0     1     1     7
  1.0005245330756175E-01 a         8     0     1     1     8
  3.4910643268580660E-01 a         9     0     1     1     9
  6.9057788015062849E-01 a        10     0     1     1    10
 -3.6266507927058114E-02 a        11     0     1     1    11
 -9.3829072396299897E-04 a        12     0     1     1    12
 -1.1094956381471290E-01 a        13     0     1     1    13
 -2.0069418954854942E-01 a        14     0     1     1    14
  3.9324922300682308E-01 a        15     0     1     1    15
  1.0553832148571110E-01 a        16     0     1     1    16
  5.3708838112105883E-01 a        17     0     1     1    17
 -6.2339193911946467E-01 a        18     0     1     1    18
  1.8813737010811246E-01 a        19     0     1     1    19
 -4.5306218101989720E-01 a        20     0     1     1    20
 -1.6503668777929795E-01 a        21     0     1     1    21
 -3.5704266800039292E-01 a        22     0     1     1    22
 -3.9477354305840107E-01 a        23     0     1     1    23
 -1.3019739301840547E-01 a        24     0     1     1    24
 -6.9932419913295074E-01 a        25     0     1     1    25
 -1.3146832210399467E-01 a        26     0     2     1     1
  1.5591720179190836E-02 a        27     0     2     1     2
  2.4324466558227544E-02 a        28     0     2     1     3
  4.5727444634318527E-02 a        29     0     2     1     4
 -8.2980965572243548E-02 a        30     0     2     1     5
 -9.8479911663265043E-02 a        31     0     2     1     6
  3.4228767435920085E-02 a        32     0     2     1     7
  1.5891800601679112E-01 a        33     0     2     1     8
  1.5622058360156327E-01 a        34     0     2     1     9
  2.5477497272565014E-02 a        35     0     2     1    10
 -1.7870355351658174E-01 a        36     0     2     1    11
 -9.9252946481225360E-02 a        37     0     2     1    12
  2.3068100876955161E-03 a        38     0     2     1    13
  1.2093902316208273E-02 a        39     0     2     1    14
 -6.1598265164061292E-02 a        40     0     2     1    15
  1.3689360474538201E-01 a        41     0     2     1    16
  2.4638621483793052E-01 a        42     0     2     1    17
  2.0867479806712960E-01 a        43     0     2     1    18
 -2.3170353280051392E-01 a        44     0     2     1    19
  1.3214008256295362E-01 a        45     0     2     1    20
 -8.2115792385298817E-03 a        46     0     2     1    21
 -7.5288941076236881E-03 a        47     0     2     1    22
  3.5607828877533776E-02 a        48     0     2     1    23
  1.2015978196251532E-02 a        49     0     2     1    24
  1.3710585382932169E-01 a        50     0     2     1    25
 -1.5018637938843509E-02 a        51     0     3     1     1
 -1.4624909762860430E-01 a        52     0     3     1     2
  1.0843205840204032E-01 a        53     0     3     1     3
  1.7708290446850836E-01 a        54     0     3     1     4
 -1.3371158899019964E-01 a        55     0     3     1     5
  2.9678770746079580E-01 a        56     0     3     1     6
 -1.2910703426567041E-01 a        57     0     3     1     7
 -1.0656668860921944E-02 a        58     0     3     1     8
 -5.3950409148576371E-02 a        59     0     3     1     9
  5.8317089540499672E-04 a        60     0     3     1    10
 -1.6834542330980243E-01 a        61     0     3     1    11
  9.9380058613622507E-02 a        62     0     3     1    12
  2.1470760838043304E-01 a        63     0     3     1    13
  1.8586230234353512E-01 a        64     0     3     1    14
 -5.1076246466011138E-02 a        65     0     3     1    15
  3.4146736953182405E-02 a        66     0     3     1    16
 -6.1489546681804647E-02 a        67     0     3     1    17
  3.6289437714213585E-02 a        68     0     3     1    18
 -1.6429669702462468E-01 a        69     0     3     1    19
  4.9824657938208700E-02 a        70     0     3     1    20
  3.4348289483606555E-02 a        71     0     3     1    21
  2.5506625418949679E-04 a        72     0     3     1    22
 -2.3203123459842795E-01 a        73     0     3     1    23
 -2.5980388660194056E-02 a        74     0     3     1    24
 -8.7455524033919804E-02 a        75     0     3     1    25
  1.0246346450962310E-03 a        76     0     4     1     1
 -1.6618289413576506E-01 a        77     0     4     1     2
 -8.2997265299288678E-02 a        78     0     4     1     3
  7.3422459493312858E-02 a        79     0     4     1     4
 -2.4604941554211671E-01 a        80     0     4     1     5
  1.6572933534703285E-01 a        81     0     4     1     6
  7.9841113391444524E-03 a        82     0     4     1     7
  2.6804953490591260E-01 a        83     0     4     1     8
 -3.9144026389858207E-02 a        84     0     4     1     9
 -7.0547168304802732E-02 a        85     0     4     1    10
 -9.6301074037289328E-03 a        86     0     4     1    11
  3.0527029440065682E-02 a        87     0     4     1    12
 -1.2525929712734344E-02 a        88     0     4     1    13
 -9.3127768998047492E-02 a        89     0     4     1    14
