################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5455439543659816E-01 a        90     0     4     1    15
  2.5072700226512690E-01 a        91     0     4     1    16
  2.1784621291528602E-01 a        92     0     4     1    17
 -3.4590843680233019E-02 a        93     0     4     1    18
  1.6930862441178474E-02 a        94     0     4     1    19
  1.0486673066343834E-01 a        95     0     4     1    20
  6.0913818753370055E-02 a        96     0     4     1    21
  7.7252644584171831E-02 a        97     0     4     1    22
 -6.5764566193453611E-02 a        98     0     4     1    23
 -8.4799707174940855E-02 a        99     0     4     1    24
 -1.5344411912010153E-01 a       100     0     4     1    25
  3.4062320180315608E-01 a       101     0     5     1     1
  6.3952454222522437E-02 a       102     0     5     1     2
  5.9347250045910370E-02 a       103     0     5     1     3
 -7.2224151083806576E-01 a       104     0     5     1     4
 -1.4252468947277788E-01 a       105     0     5     1     5
 -9.7439850749087967E-02 a       106     0     5     1     6
 -1.9769643402202156E-01 a       107     0     5     1     7
 -7.6224017913131659E-02 a       108     0     5     1     8
 -4.2598643547638665E-01 a       109     0     5     1     9
 -8.9742048599101598E-01 a       110     0     5     1    10
  2.3068864817862592E-01 a       111     0     5     1    11
 -4.1997452171010119E-01 a       112     0     5     1    12
 -1.4494452944305330E-01 a       113     0     5     1    13
  2.4188958692927665E-01 a       114     0     5     1    14
 -6.1075024633660754E-02 a       115     0     5     1    15
  3.8823018525749681E-01 a       116     0     5     1    16
  2.0809887240333752E-01 a       117     0     5     1    17
  7.3683367112447795E-01 a       118     0     5     1    18
 -2.3550213288578814E-01 a       119     0     5     1    19
  2.8793264301873611E-01 a       120     0     5     1    20
  2.3710199949892782E-01 a       121     0     5     1    21
 -4.8067807051495232E-01 a       122     0     5     1    22
  3.5928784126391738E-01 a       123     0     5     1    23
  2.6448959641227364E-02 a       124     0     5     1    24
 -8.0479547785233096E-01 a       125     0     5     1    25
  1.3490424358717826E-01 a       126     0     6     1     1
 -1.0533775766710946E-01 a       127     0     6     1     2
 -3.7341034488089238E-02 a       128     0     6     1     3
  6.1816347266423544E-02 a       129     0     6     1     4
  1.2240316112231205E-01 a       130     0     6     1     5
 -9.2685348909017140E-02 a       131     0     6     1     6
 -5.5189470741884239E-02 a       132     0     6     1     7
 -5.3114354192137475E-02 a       133     0     6     1     8
  1.0866919588905158E-02 a       134     0     6     1     9
 -9.5396924091833216E-02 a       135     0     6     1    10
  1.6524806066037021E-01 a       136     0     6     1    11
  8.5063331724051755E-02 a       137     0     6     1    12
 -9.5324876158740399E-02 a       138     0     6     1    13
 -2.9432996386128557E-03 a       139     0     6     1    14
  1.6390698090857420E-01 a       140     0     6     1    15
 -1.1636650838337692E-01 a       141     0     6     1    16
 -3.7592222623352357E-02 a       142     0     6     1    17
 -4.5292047617817306E-02 a       143     0     6     1    18
 -5.9045531641914215E-02 a       144     0     6     1    19
 -2.1530047971868169E-01 a       145     0     6     1    20
  1.1303970586804087E-01 a       146     0     6     1    21
  6.6015325534768188E-02 a       147     0     6     1    22
 -1.6561638320150177E-01 a       148     0     6     1    23
  2.4283257422890489E-01 a       149     0     6     1    24
 -2.5241640112128698E-02 a       150     0     6     1    25
  6.2503536435100898E-02 a       151     0     7     1     1
  1.2670158492037512E-01 a       152     0     7     1     2
 -1.6507527661937518E-01 a       153     0     7     1     3
 -9.0277857194846038E-03 a       154     0     7     1     4
 -9.0754974305438489E-03 a       155     0     7     1     5
  3.5857638051082058E-01 a       156     0     7     1     6
  2.1434692581372536E-01 a       157     0     7     1     7
  1.1804915940843194E-01 a       158     0     7     1     8
 -5.6031729590444532E-04 a       159     0     7     1     9
  2.2994496742834235E-02 a       160     0     7     1    10
  1.0373490423095466E-01 a       161     0     7     1    11
 -1.3672301527625169E-01 a       162     0     7     1    12
 -8.9763433430338810E-02 a       163     0     7     1    13
 -8.5746716882363933E-02 a       164     0     7     1    14
  4.8602873257325221E-02 a       165     0     7     1    15
  1.0184226240746043E-01 a       166     0     7     1    16
  1.2210433099826722E-01 a       167     0     7     1    17
  2.3979134565561135E-02 a       168     0     7     1    18
  2.5424545092838374E-01 a       169     0     7     1    19
 -1.0463469525918505E-01 a       170     0     7     1    20
 -9.5491379043977490E-02 a       171     0     7     1    21
 -1.1897424981030594E-01 a       172     0     7     1    22
  2.9990897704279429E-01 a       173     0     7     1    23
  6.3517996758459566E-02 a       174     0     7     1    24
  7.9272611796002895E-02 a       175     0     7     1    25
  1.0805758143941366E-01 a       176     0     8     1     1
  5.0138733936532218E-02 a       177     0     8     1     2
  1.2466871035011388E-01 a       178     0     8     1     3
 -8.7319889934966172E-02 a       179     0     8     1     4
  8.4118467269594613E-02 a       180     0     8     1     5
  1.5889874858031360E-02 a       181     0     8     1     6
  9.3184154502603637E-03 a       182     0     8     1     7
 -1.6735587826321313E-01 a       183     0     8     1     8
 -2.0007430967292814E-01 a       184     0     8     1     9
 -8.0854354035157817E-03 a       185     0     8     1    10
 -1.8375823147190398E-01 a       186     0     8     1    11
  2.7480841131979877E-01 a       187     0     8     1    12
  7.9356057584731382E-02 a       188     0     8     1    13
 -1.7512645477338767E-01 a       189     0     8     1    14
 -1.6572404257162632E-01 a       190     0     8     1    15
  1.0544408334849582E-01 a       191     0     8     1    16
 -1.0542256608928917E-01 a       192     0     8     1    17
  1.5169927979588796E-01 a       193     0     8     1    18
  5.2692331664286968E-02 a       194     0     8     1    19
  1.0002611688868548E-01 a       195     0     8     1    20
 -6.0376773578569992E-02 a       196     0     8     1    21
 -2.4051762958797848E-01 a       197     0     8     1    22
  1.8819431997678807E-01 a       198     0     8     1    23
 -8.8289410016722511E-02 a       199     0     8     1    24
  2.1350890501928776E-01 a       200     0     8     1    25
 -2.0197378925943724E-01 a       201     0     9     1     1
 -1.7666320714641948E-01 a       202     0     9     1     2
 -3.0686150349886548E-01 a       203     0     9     1     3
  5.1456470646627150E-01 a       204     0     9     1     4
 -4.2208680889900457E-01 a       205     0     9     1     5
  1.1650704280462630E-01 a       206     0     9     1     6
 -3.4545811404269232E-02 a       207     0     9     1     7
 -2.7957288780181483E-01 a       208     0     9     1     8
 -6.1037759176910115E-02 a       209     0     9     1     9
  2.6143655976829105E-01 a       210     0     9     1    10
 -3.8870564281294429E-01 a       211     0     9     1    11
 -8.1389337359313224E-02 a       212     0     9     1    12
  1.2059025278064239E-01 a       213     0     9     1    13
 -7.1551070856290103E-02 a       214     0     9     1    14
  2.8591641354440428E-01 a       215     0     9     1    15
  1.9428424038384112E-01 a       216     0     9     1    16
 -1.6486066749554749E-02 a       217     0     9     1    17
 -3.4115787349151983E-01 a       218     0     9     1    18
  1.1901741372203768E-01 a       219     0     9     1    19
 -2.6726884890332392E-01 a       220     0     9     1    20
 -1.3210869236201708E-01 a       221     0     9     1    21
 -4.2442028954823929E-01 a       222     0     9     1    22
 -3.0502822604881130E-01 a       223     0     9     1    23
 -5.3601632308301528E-01 a       224     0     9     1    24
 -1.4922460307787294E-01 a       225     0     9     1    25
 -5.2100220161252160E-02 a       226     0    10     1     1
  9.1582897971943369E-02 a       227     0    10     1     2
 -1.3325732660004747E-02 a       228     0    10     1     3
  2.1976619906470915E-02 a       229     0    10     1     4
 -5.7650513653863207E-02 a       230     0    10     1     5
  1.7820088649934476E-01 a       231     0    10     1     6
  9.4021010683076472E-02 a       232     0    10     1     7
 -3.0752804785309129E-01 a       233     0    10     1     8
 -1.0268312681176461E-01 a       234     0    10     1     9
 -4.0455458676618129E-02 a       235     0    10     1    10
 -4.2406030656754702E-03 a       236     0    10     1    11
  1.3555130541586197E-01 a       237     0    10     1    12
  1.3833665904272704E-01 a       238     0    10     1    13
 -8.2914587937289314E-02 a       239     0    10     1    14
  1.9236846968020402E-02 a       240     0    10     1    15
  2.8798129903107805E-01 a       241     0    10     1    16
 -1.7583077930540306E-01 a       242     0    10     1    17
 -9.9282369313455035E-02 a       243     0    10     1    18
 -3.6021048598656527E-02 a       244     0    10     1    19
  7.1417834247077122E-03 a       245     0    10     1    20
 -1.4917499775508708E-01 a       246     0    10     1    21
  1.3478432245194745E-02 a       247     0    10     1    22
  2.7578003891692021E-01 a       248     0    10     1    23
 -3.6913414788507300E-02 a       249     0    10     1    24
  2.7776367292472387E-01 a       250     0    10     1    25
 -1.6607603602851928E-01 a       251     0    11     1     1
  1.8306073746372293E-02 a       252     0    11     1     2
  1.2524523677096916E-01 a       253     0    11     1     3
 -2.7195707043131612E-01 a       254     0    11     1     4
 -1.3711600393310500E-01 a       255     0    11     1     5
  4.3487287935094772E-02 a       256     0    11     1     6
 -8.8626798909671983E-02 a       257     0    11     1     7
 -1.5067900043743013E-01 a       258     0    11     1     8
  1.5768973039383358E-01 a       259     0    11     1     9
 -1.5901432760104758E-01 a       260     0    11     1    10
  3.4124740913386026E-01 a       261     0    11     1    11
 -1.7779870059030350E-01 a       262     0    11     1    12
 -2.6471553499690686E-01 a       263     0    11     1    13
 -1.1325537477111551E-01 a       264     0    11     1    14
 -3.2571875451163190E-02 a       265     0    11     1    15
 -1.8786835195126497E-01 a       266     0    11     1    16
 -2.4761349328652878E-02 a       267     0    11     1    17
 -2.4027375217199970E-01 a       268     0    11     1    18
 -1.3803125093506660E-01 a       269     0    11     1    19
 -1.6730450565937047E-01 a       270     0    11     1    20
 -8.9168024597107265E-02 a       271     0    11     1    21
  2.4907469473464009E-02 a       272     0    11     1    22
 -2.3041715716790970E-01 a       273     0    11     1    23
  9.2983475334449353E-02 a       274     0    11     1    24
  1.1360718565653219E-01 a       275     0    11     1    25
 -1.2604029632241063E-02 a       276     0    12     1     1
 -7.9666825978227676E-02 a       277     0    12     1     2
  4.8050663768994611E-02 a       278     0    12     1     3
  1.0910812959319231E-01 a       279     0    12     1     4
  2.1880325554014157E-02 a       280     0    12     1     5
  6.1849601819739468E-02 a       281     0    12     1     6
  2.0516343219192029E-01 a       282     0    12     1     7
  3.0636618386270669E-02 a       283     0    12     1     8
  1.9650907062817732E-01 a       284     0    12     1     9
 -5.4180648109268412E-02 a       285     0    12     1    10
  2.0465550146419753E-01 a       286     0    12     1    11
 -2.2581765990077529E-01 a       287     0    12     1    12
  1.9268807116646397E-01 a       288     0    12     1    13
  1.2684818554075053E-01 a       289     0    12     1    14
  2.0861234504592713E-01 a       290     0    12     1    15
  1.5410501241894323E-01 a       291     0    12     1    16
  1.4185270895272400E-01 a       292     0    12     1    17
 -1.7208806732487797E-01 a       293     0    12     1    18
 -1.1416557193251685E-01 a       294     0    12     1    19
 -1.7243310503136225E-01 a       295     0    12     1    20
 -7.9251598766991269E-02 a       296     0    12     1    21
  6.7369554767456291E-02 a       297     0    12     1    22
 -1.1532640705203788E-01 a       298     0    12     1    23
  1.5907601058827853E-01 a       299     0    12     1    24
 -2.8609762151318000E-02 a       300     0    12     1    25
  2.2427420977184745E-01 a       301     0    13     1     1
 -3.7350338749040680E-02 a       302     0    13     1     2
 -1.8681961532598412E-01 a       303     0    13     1     3
 -1.1620566989750841E-01 a       304     0    13     1     4
  2.8548627818512368E-01 a       305     0    13     1     5
 -1.2642285883212986E-01 a       306     0    13     1     6
 -3.7576064428651385E-02 a       307     0    13     1     7
 -3.6762353904599848E-01 a       308     0    13     1     8
  1.0798505961716772E-02 a       309     0    13     1     9
  1.4456537749888815E-01 a       310     0    13     1    10
  1.1773764994500578E-02 a       311     0    13     1    11
 -4.1990644230319718E-01 a       312     0    13     1    12
 -5.4816057737692627E-03 a       313     0    13     1    13
  4.7891091801636594E-02 a       314     0    13     1    14
 -4.1954827020787078E-01 a       315     0    13     1    15
  1.0660419961746180E-01 a       316     0    13     1    16
 -2.9656613231490536E-01 a       317     0    13     1    17
  1.5886312101241801E-01 a       318     0    13     1    18
 -2.8235229824357394E-01 a       319     0    13     1    19
 -6.2777031106632603E-02 a       320     0    13     1    20
  2.1301595677131385E-01 a       321     0    13     1    21
 -3.7826105481804312E-01 a       322     0    13     1    22
  4.7642803627195871E-03 a       323     0    13     1    23
  2.8840915994484517E-01 a       324     0    13     1    24
  7.3274563072999357E-02 a       325     0    13     1    25
  4.7730437989533131E-01 a       326     0    14     1     1
  9.0944293026877232E-02 a       327     0    14     1     2
  2.7552385697504389E-01 a       328     0    14     1     3
 -2.6952047556165232E-02 a       329     0    14     1     4
  2.0367164870172601E-02 a       330     0    14     1     5
  2.6427855389919389E-02 a       331     0    14     1     6
  2.3726673702348824E-01 a       332     0    14     1     7
 -1.3352244561397700E-01 a       333     0    14     1     8
  3.6510702998156869E-02 a       334     0    14     1     9
 -1.9624249100586805E-01 a       335     0    14     1    10
  3.3381261515477073E-02 a       336     0    14     1    11
  3.3093751336741910E-02 a       337     0    14     1    12
 -5.9829421695188095E-02 a       338     0    14     1    13
  2.4470556491645268E-01 a       339     0    14     1    14
 -1.8142165177208618E-02 a       340     0    14     1    15
  3.0711282025632630E-01 a       341     0    14     1    16
 -4.2122176494518049E-02 a       342     0    14     1    17
  2.1724624136293275E-01 a       343     0    14     1    18
 -9.0703064816952755E-02 a       344     0    14     1    19
 -2.6943799657442171E-02 a       345     0    14     1    20
  1.0876197746405536E-01 a       346     0    14     1    21
  1.2822117933571689E-01 a       347     0    14     1    22
  1.4221257363609041E-02 a       348     0    14     1    23
  1.6793150881430385E-01 a       349     0    14     1    24
  1.6593996735587507E-01 a       350     0    14     1    25
 -4.7791923187695219E-03 a       351     0    15     1     1
  5.7623931763648328E-02 a       352     0    15     1     2
 -5.1552043771643019E-02 a       353     0    15     1     3
  1.2173790737846271E-01 a       354     0    15     1     4
 -1.2459431889876751E-01 a       355     0    15     1     5
 -4.3307897388613721E-03 a       356     0    15     1     6
  6.1221128665793483E-02 a       357     0    15     1     7
 -5.5636651400267988E-02 a       358     0    15     1     8
 -1.9341538668176633E-01 a       359     0    15     1     9
  4.6561690540528805E-02 a       360     0    15     1    10
  1.7535249831968573E-02 a       361     0    15     1    11
 -1.2254387289583815E-01 a       362     0    15     1    12
 -1.7784786765994201E-01 a       363     0    15     1    13
 -1.1356620522765652E-01 a       364     0    15     1    14
  4.8641247678620200E-02 a       365     0    15     1    15
  1.1896558144202252E-01 a       366     0    15     1    16
 -8.0752773739882489E-03 a       367     0    15     1    17
  6.0597660487112737E-02 a       368     0    15     1    18
  1.1627398342592878E-01 a       369     0    15     1    19
 -3.3570796244451105E-02 a       370     0    15     1    20
 -8.2736629284497153E-04 a       371     0    15     1    21
 -2.0315482817823863E-01 a       372     0    15     1    22
 -2.6664412768981510E-03 a       373     0    15     1    23
  9.7239341849518612E-03 a       374     0    15     1    24
  7.9303085934302828E-03 a       375     0    15     1    25
  6.8852837569448155E-02 a       376     0    16     1     1
 -1.3793453970639918E-01 a       377     0    16     1     2
  3.9628139154983449E-02 a       378     0    16     1     3
  4.7537305774942168E-02 a       379     0    16     1     4
  3.7515673839243889E-02 a       380     0    16     1     5
  5.9872609018732911E-02 a       381     0    16     1     6
 -1.2769464790560009E-01 a       382     0    16     1     7
  2.2502408931446186E-01 a       383     0    16     1     8
 -2.0357564855017235E-01 a       384     0    16     1     9
 -3.0845084041214410E-01 a       385     0    16     1    10
 -7.8949256351893773E-02 a       386     0    16     1    11
  1.6976711248760160E-02 a       387     0    16     1    12
  3.6604662264204474E-02 a       388     0    16     1    13
 -1.6271563712583284E-01 a       389     0    16     1    14
  9.0363080987310843E-02 a       390     0    16     1    15
  2.1633059572871005E-01 a       391     0    16     1    16
  1.9504703605894673E-02 a       392     0    16     1    17
  5.3759649093319012E-02 a       393     0    16     1    18
 -3.3910316839242539E-02 a       394     0    16     1    19
 -1.1791229723435159E-02 a       395     0    16     1    20
 -1.8676882157873223E-01 a       396     0    16     1    21
 -2.9009251903640908E-02 a       397     0    16     1    22
 -3.9813221037950527E-02 a       398     0    16     1    23
 -2.9561890885542669E-03 a       399     0    16     1    24
 -1.1298482490083286E-01 a       400     0    16     1    25
 -5.3158294594552957E-01 a       401     0    17     1     1
 -2.1057784788606254E-04 a       402     0    17     1     2
 -1.9857723202338079E-01 a       403     0    17     1     3
  1.1303246879933915E-02 a       404     0    17     1     4
 -3.2111916341774732E-01 a       405     0    17     1     5
  5.8663813856722057E-02 a       406     0    17     1     6
  8.1691222102593081E-02 a       407     0    17     1     7
 -5.3487382173075609E-02 a       408     0    17     1     8
  1.6308852132980142E-01 a       409     0    17     1     9
  4.7380760465186932E-02 a       410     0    17     1    10
  2.8146910615578384E-02 a       411     0    17     1    11
 -1.3236104825699382E-01 a       412     0    17     1    12
 -9.0684674034045051E-02 a       413     0    17     1    13
 -1.8045642216083904E-01 a       414     0    17     1    14
  2.6548052671200895E-01 a       415     0    17     1    15
  5.7671994639305106E-02 a       416     0    17     1    16
  3.7518592911617943E-01 a       417     0    17     1    17
 -3.5296421380077173E-02 a       418     0    17     1    18
  7.8529631280728471E-02 a       419     0    17     1    19
  1.5430422604925595E-01 a       420     0    17     1    20
  7.1058647258146188E-02 a       421     0    17     1    21
 -1.8609241359144327E-01 a       422     0    17     1    22
  9.5260905571042213E-03 a       423     0    17     1    23
 -2.5615887928439378E-02 a       424     0    17     1    24
 -1.9505570926592983E-01 a       425     0    17     1    25
  1.7194252263313026E-01 a       426     0    18     1     1
 -1.0179633991868803E-01 a       427     0    18     1     2
 -1.2168155494889100E-02 a       428     0    18     1     3
  2.4817027231421675E-02 a       429     0    18     1     4
  3.6937545752657251E-02 a       430     0    18     1     5
 -4.6907630234676936E-02 a       431     0    18     1     6
 -2.3390359785058371E-01 a       432     0    18     1     7
  7.5362290626891384E-02 a       433     0    18     1     8
  2.2243254956816443E-02 a       434     0    18     1     9
 -1.5148399018560890E-01 a       435     0    18     1    10
  2.2691241650828159E-01 a       436     0    18     1    11
  1.0105623135370630E-01 a       437     0    18     1    12
  3.0097799215165000E-01 a       438     0    18     1    13
 -1.1557676894322474E-01 a       439     0    18     1    14
  7.3348139203877269E-02 a       440     0    18     1    15
  1.3862178513838289E-01 a       441     0    18     1    16
  6.6242051020505149E-02 a       442     0    18     1    17
 -1.8109615547444516E-01 a       443     0    18     1    18
 -1.4181264512594274E-01 a       444     0    18     1    19
  2.4358532311314143E-03 a       445     0    18     1    20
 -2.3796445400833846E-01 a       446     0    18     1    21
  1.8593483331976357E-01 a       447     0    18     1    22
 -6.1530101875786503E-02 a       448     0    18     1    23
 -3.1227166878054047E-01 a       449     0    18     1    24
  7.0499438640947237E-02 a       450     0    18     1    25
 -2.9308647189321684E-02 a       451     0    19     1     1
 -6.6092040053292167E-02 a       452     0    19     1     2
 -9.8436706556839310E-02 a       453     0    19     1     3
 -4.5906588353878897E-02 a       454     0    19     1     4
  6.3801779554964549E-02 a       455     0    19     1     5
 -1.8426960080043076E-02 a       456     0    19     1     6
  9.7589941877637393E-02 a       457     0    19     1     7
 -8.7084552615720387E-02 a       458     0    19     1     8
  1.1429809669469981E-01 a       459     0    19     1     9
  6.8894916509812193E-02 a       460     0    19     1    10
  4.2912055189540160E-01 a       461     0    19     1    11
 -1.5135889359749330E-01 a       462     0    19     1    12
 -1.4472153993960606E-02 a       463     0    19     1    13
 -2.2835367866799888E-01 a       464     0    19     1    14
 -1.9765652572467712E-01 a       465     0    19     1    15
  8.1190313320485819E-02 a       466     0    19     1    16
 -1.8144510996010585E-01 a       467     0    19     1    17
 -1.6993742922644522E-01 a       468     0    19     1    18
 -2.7183213024042840E-01 a       469     0    19     1    19
  7.5560715917615498E-02 a       470     0    19     1    20
  1.5812067472771273E-02 a       471     0    19     1    21
  1.5313636683919232E-02 a       472     0    19     1    22
 -5.1995186908400028E-02 a       473     0    19     1    23
 -1.0193569194175264E-01 a       474     0    19     1    24
 -2.2922932298283186E-02 a       475     0    19     1    25
  9.2744935080583152E-02 a       476     0    20     1     1
 -3.0303584136196160E-01 a       477     0    20     1     2
  4.1723786287064357E-02 a       478     0    20     1     3
  7.4540687289787230E-02 a       479     0    20     1     4
 -1.0192078073084708E-01 a       480     0    20     1     5
 -8.3630001155736752E-02 a       481     0    20     1     6
  1.7989287464747740E-02 a       482     0    20     1     7
  1.3190076725521561E-02 a       483     0    20     1     8
 -1.4909843917785376E-02 a       484     0    20     1     9
  1.1551059018729713E-01 a       485     0    20     1    10
 -9.4944909419838755E-02 a       486     0    20     1    11
  1.2545832068141169E-01 a       487     0    20     1    12
  1.0760672493272463E-01 a       488     0    20     1    13
  2.3821958631197171E-01 a       489     0    20     1    14
  1.8570210094257614E-01 a       490     0    20     1    15
  4.8770553836987321E-02 a       491     0    20     1    16
  2.0998049117126719E-02 a       492     0    20     1    17
 -1.6542481937978576E-01 a       493     0    20     1    18
  3.7296968936267657E-03 a       494     0    20     1    19
  1.4124430515824604E-01 a       495     0    20     1    20
 -8.6112207697938453E-02 a       496     0    20     1    21
 -1.1608620130244576E-01 a       497     0    20     1    22
  6.9120985152085174E-02 a       498     0    20     1    23
 -2.4464511162529318E-01 a       499     0    20     1    24
 -9.8172969981832114E-02 a       500     0    20     1    25
  5.8501891414614690E-02 a       501     0    21     1     1
 -2.9315295502242233E-01 a       502     0    21     1     2
 -2.5435419310240420E-01 a       503     0    21     1     3
 -1.4037693949853716E-01 a       504     0    21     1     4
  2.4896315586920995E-01 a       505     0    21     1     5
 -1.2315023610371656E-01 a       506     0    21     1     6
  3.9037614603958416E-02 a       507     0    21     1     7
  1.0958468238929963E-02 a       508     0    21     1     8
 -1.1903362129799766E-01 a       509     0    21     1     9
  4.6804372310116943E-02 a       510     0    21     1    10
  1.4725004723079180E-01 a       511     0    21     1    11
 -6.1302590497082338E-02 a       512     0    21     1    12
 -1.5465131288068151E-01 a       513     0    21     1    13
  2.7696438437945425E-01 a       514     0    21     1    14
 -1.6840181665665421E-01 a       515     0    21     1    15
  9.4697023870077585E-02 a       516     0    21     1    16
  3.8968726529814687E-02 a       517     0    21     1    17
  6.0916295720874637E-03 a       518     0    21     1    18
 -2.5380084915164303E-01 a       519     0    21     1    19
 -8.8139720339078201E-02 a       520     0    21     1    20
  9.7234128821310925E-02 a       521     0    21     1    21
 -1.4131690808857589E-01 a       522     0    21     1    22
 -6.9113130436725782E-03 a       523     0    21     1    23
  5.3452486366370601E-02 a       524     0    21     1    24
 -5.6172973202931908E-02 a       525     0    21     1    25
  3.9941753887874232E-01 a       526     0    22     1     1
  1.6816623017260518E-01 a       527     0    22     1     2
  3.7347609469802096E-01 a       528     0    22     1     3
  2.0475725319992139E-01 a       529     0    22     1     4
  2.9863763263085010E-02 a       530     0    22     1     5
