################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -4.0081246445958681E-02 a         1     0     1     1     1
  6.3810150342942185E-02 a         2     0     1     1     2
  6.7539950123012268E-02 a         3     0     1     1     3
 -1.3685016334705907E-01 a         4     0     1     1     4
 -1.5100437304266257E-01 a         5     0     1     1     5
  1.1975007086196195E-01 a         6     0     1     1     6
 -1.6461400274838698E-02 a         7     0     1     1     7
 -1.5256356115657399E-01 a         8     0     1     1     8
 -2.1297108605545614E-01 a         9     0     1     1     9
  5.3505218816841157E-02 a        10     0     1     1    10
 -1.3652223170539166E-01 a        11     0     1     1    11
  2.1044957655336599E-01 a        12     0     1     1    12
  1.9614107643395401E-01 a        13     0     1     1    13
  2.0659661647637895E-01 a        14     0     1     1    14
 -9.0311812527163315E-03 a        15     0     1     1    15
 -6.6896206543562353E-03 a        16     0     1     1    16
  1.0328575065388781E-01 a        17     0     1     1    17
  1.2956437419838826E-01 a        18     0     1     1    18
  3.3247605709907022E-02 a        19     0     1     1    19
  1.8761564884647079E-02 a        20     0     1     1    20
  2.2085716716382028E-01 a        21     0     1     1    21
 -7.8958119146549391E-02 a        22     0     1     1    22
  1.5410616126042717E-01 a        23     0     1     1    23
  2.0704512376148612E-01 a        24     0     1     1    24
 -5.9290542285969264E-02 a        25     0     1     1    25
  1.1168890049849528E-01 a        26     0     2     1     1
  1.6758068981163438E-01 a        27     0     2     1     2
  3.1268692537559831E-02 a        28     0     2     1     3
 -9.6959133375565471E-02 a        29     0     2     1     4
 -1.6413140162001169E-01 a        30     0     2     1     5
 -3.4253490177133313E-02 a        31     0     2     1     6
 -1.9502750593854332E-01 a        32     0     2     1     7
 -2.8603448231469323E-02 a        33     0     2     1     8
 -8.2439653478023886E-02 a        34     0     2     1     9
  1.2860255100571337E-02 a        35     0     2     1    10
  2.6048702481573278E-02 a        36     0     2     1    11
  3.1949080819714565E-02 a        37     0     2     1    12
 -1.7364854978067688E-02 a        38     0     2     1    13
  3.3294495958590442E-01 a        39     0     2     1    14
  9.6605358053126561E-02 a        40     0     2     1    15
  6.3246500809745906E-02 a        41     0     2     1    16
  4.4355449662552691E-02 a        42     0     2     1    17
 -3.0024412833489977E-01 a        43     0     2     1    18
  1.3316700537080323E-01 a        44     0     2     1    19
 -8.2010006934844948E-02 a        45     0     2     1    20
  1.4352369263596318E-01 a        46     0     2     1    21
  5.4786966700026148E-02 a        47     0     2     1    22
 -3.3155312732399023E-01 a        48     0     2     1    23
  1.6241691581595202E-01 a        49     0     2     1    24
  2.4365968203266447E-01 a        50     0     2     1    25
  1.1731919454970609E-01 a        51     0     3     1     1
  1.1136632952001171E-01 a        52     0     3     1     2
 -1.9155044485990595E-02 a        53     0     3     1     3
 -9.8598507321958836E-02 a        54     0     3     1     4
 -1.2101325844094063E-02 a        55     0     3     1     5
  5.3553669279279403E-02 a        56     0     3     1     6
  3.3423410846414058E-02 a        57     0     3     1     7
 -2.8359859822330788E-02 a        58     0     3     1     8
 -2.4833725501674614E-01 a        59     0     3     1     9
 -7.8199492201583426E-02 a        60     0     3     1    10
 -1.1498920491009970E-01 a        61     0     3     1    11
  2.3531325275166920E-01 a        62     0     3     1    12
 -5.3108691228880164E-02 a        63     0     3     1    13
  5.2387993673804568E-02 a        64     0     3     1    14
 -1.9680087266805502E-01 a        65     0     3     1    15
 -1.5324001757322936E-01 a        66     0     3     1    16
 -1.3692802770302834E-01 a        67     0     3     1    17
  1.7061987354949189E-02 a        68     0     3     1    18
 -1.1636540678175120E-01 a        69     0     3     1    19
 -1.1720143116167253E-01 a        70     0     3     1    20
  5.6626065662046976E-02 a        71     0     3     1    21
  1.6262402194598100E-01 a        72     0     3     1    22
  2.3923689233749545E-01 a        73     0     3     1    23
 -1.4083811371646751E-02 a        74     0     3     1    24
  1.7654020126093853E-01 a        75     0     3     1    25
 -1.3379028026047421E-01 a        76     0     4     1     1
 -1.4848027411706841E-01 a        77     0     4     1     2
  1.2189406577258251E-01 a        78     0     4     1     3
  1.3499363237391490E-01 a        79     0     4     1     4
 -1.3497412084386187E-01 a        80     0     4     1     5
  8.9807323121807794E-02 a        81     0     4     1     6
  1.5613094490529017E-01 a        82     0     4     1     7
  1.7813859875703658E-01 a        83     0     4     1     8
 -1.0953724202061994E-01 a        84     0     4     1     9
 -1.5710657234537361E-02 a        85     0     4     1    10
  1.0153344693766780E-01 a        86     0     4     1    11
  1.9363130057950692E-01 a        87     0     4     1    12
  1.0338572924440012E-01 a        88     0     4     1    13
  2.8443382028628811E-01 a        89     0     4     1    14
 -2.3525720106145662E-01 a        90     0     4     1    15
 -2.4933432973416301E-02 a        91     0     4     1    16
  6.8272893143713945E-02 a        92     0     4     1    17
 -8.6977237510230069E-03 a        93     0     4     1    18
 -1.8051572880125426E-02 a        94     0     4     1    19
