################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.7259870015091486E-01 a        95     0     4     1    20
 -1.1345527219149157E-01 a        96     0     4     1    21
  2.4131522740048672E-01 a        97     0     4     1    22
 -1.0291357758321283E-02 a        98     0     4     1    23
 -2.0113943342667230E-02 a        99     0     4     1    24
 -2.7645378948660135E-02 a       100     0     4     1    25
  1.0528774325483560E-01 a       101     0     5     1     1
 -2.8296937044897590E-02 a       102     0     5     1     2
  1.3943860032582928E-01 a       103     0     5     1     3
 -1.5891113686037292E-01 a       104     0     5     1     4
  2.5263707609760194E-01 a       105     0     5     1     5
 -2.4283031295427029E-01 a       106     0     5     1     6
  6.2874569671809172E-03 a       107     0     5     1     7
  1.6929637181234272E-01 a       108     0     5     1     8
 -4.4235608951046682E-02 a       109     0     5     1     9
 -1.3076987873746179E-01 a       110     0     5     1    10
  7.2609087269441375E-02 a       111     0     5     1    11
  4.2388209767142686E-02 a       112     0     5     1    12
  1.3160805281075583E-01 a       113     0     5     1    13
 -1.7246774299972049E-03 a       114     0     5     1    14
 -4.5637289365893383E-02 a       115     0     5     1    15
 -3.7781295007501728E-02 a       116     0     5     1    16
 -1.5949802105189317E-01 a       117     0     5     1    17
 -1.1445632091018626E-02 a       118     0     5     1    18
 -8.6444585027142293E-02 a       119     0     5     1    19
  8.3975682238550203E-02 a       120     0     5     1    20
 -1.7396604613293101E-01 a       121     0     5     1    21
  2.3590334952746850E-01 a       122     0     5     1    22
 -1.8028585687136625E-01 a       123     0     5     1    23
  7.1043471400224129E-02 a       124     0     5     1    24
  8.4826013389087407E-02 a       125     0     5     1    25
 -2.0351606047974924E-01 a       126     0     6     1     1
 -4.7219457481152513E-02 a       127     0     6     1     2
  5.3997937566100440E-02 a       128     0     6     1     3
 -1.0296151773652008E-01 a       129     0     6     1     4
 -8.3341279722199138E-02 a       130     0     6     1     5
 -1.0048618814963987E-01 a       131     0     6     1     6
  1.3205659841479106E-01 a       132     0     6     1     7
 -9.3379310702129292E-02 a       133     0     6     1     8
  1.3997383092041385E-01 a       134     0     6     1     9
  1.8979608102590875E-01 a       135     0     6     1    10
 -8.2100090410379911E-02 a       136     0     6     1    11
  7.2031612564067852E-03 a       137     0     6     1    12
  6.6210416730228094E-02 a       138     0     6     1    13
 -1.2367152595230604E-01 a       139     0     6     1    14
 -1.4705536871368260E-01 a       140     0     6     1    15
 -2.8699292516938829E-01 a       141     0     6     1    16
  8.4452844398866272E-02 a       142     0     6     1    17
  2.6363556241783843E-02 a       143     0     6     1    18
 -1.4073419555941413E-01 a       144     0     6     1    19
 -1.6949399394489756E-01 a       145     0     6     1    20
 -1.0537168955145611E-01 a       146     0     6     1    21
 -1.8636579907311748E-01 a       147     0     6     1    22
  1.4350008227949745E-01 a       148     0     6     1    23
  1.0478159139019888E-01 a       149     0     6     1    24
 -2.1189286856387091E-01 a       150     0     6     1    25
  6.6261266257575946E-02 a       151     0     7     1     1
 -1.7711814392209366E-01 a       152     0     7     1     2
 -1.0569681409291162E-01 a       153     0     7     1     3
 -1.3870042801715746E-01 a       154     0     7     1     4
  1.9100420171005252E-02 a       155     0     7     1     5
  1.7998923949189029E-02 a       156     0     7     1     6
 -9.1358550437832212E-02 a       157     0     7     1     7
  2.3175656319870927E-01 a       158     0     7     1     8
  1.2782902872610738E-01 a       159     0     7     1     9
  1.7547149065302114E-01 a       160     0     7     1    10
  1.0270600812700785E-01 a       161     0     7     1    11
 -1.9359221226090934E-01 a       162     0     7     1    12
 -1.1345544867789549E-01 a       163     0     7     1    13
  7.7112227019986671E-02 a       164     0     7     1    14
  2.3514309099307684E-01 a       165     0     7     1    15
  1.7968915854742601E-01 a       166     0     7     1    16
  1.9862485813222699E-01 a       167     0     7     1    17
 -2.3899183778883654E-01 a       168     0     7     1    18
 -1.2017768201036846E-01 a       169     0     7     1    19
  1.9914336049135606E-01 a       170     0     7     1    20
 -3.2111284229973516E-02 a       171     0     7     1    21
  1.8803624648250913E-01 a       172     0     7     1    22
 -1.3183914074123701E-01 a       173     0     7     1    23
 -9.7583524070188318E-02 a       174     0     7     1    24
  1.6611261738850125E-01 a       175     0     7     1    25
  8.8046944076306108E-04 a       176     0     8     1     1
  5.2522297989711565E-02 a       177     0     8     1     2
 -2.1236853825594652E-02 a       178     0     8     1     3
 -1.5846102375566851E-01 a       179     0     8     1     4
  1.7438358530429132E-01 a       180     0     8     1     5
  2.0297202045173681E-02 a       181     0     8     1     6
  3.9663648825279195E-02 a       182     0     8     1     7
 -9.2466224221297258E-02 a       183     0     8     1     8
  8.4339562305533425E-02 a       184     0     8     1     9
  1.0617845275017380E-01 a       185     0     8     1    10
 -2.4280827116686327E-01 a       186     0     8     1    11
 -2.0574971677176765E-01 a       187     0     8     1    12
 -1.8192929466307858E-01 a       188     0     8     1    13
 -1.5473877756783291E-01 a       189     0     8     1    14
  1.6168742532353761E-01 a       190     0     8     1    15
  7.7836980246794966E-03 a       191     0     8     1    16
 -2.8687987886082816E-02 a       192     0     8     1    17
  8.9964313473780338E-02 a       193     0     8     1    18
 -1.0947995658708351E-01 a       194     0     8     1    19
 -6.6770916601190536E-03 a       195     0     8     1    20
 -1.4525190176621758E-01 a       196     0     8     1    21
 -4.5488257628700901E-02 a       197     0     8     1    22
 -2.0064281481714608E-01 a       198     0     8     1    23
  4.1554512896525064E-02 a       199     0     8     1    24
  2.2680814383128725E-01 a       200     0     8     1    25
 -1.6153686897720698E-01 a       201     0     9     1     1
 -9.3193946143821010E-02 a       202     0     9     1     2
 -2.3241063203164664E-01 a       203     0     9     1     3
  3.5888231158946754E-01 a       204     0     9     1     4
  3.0827657309178702E-01 a       205     0     9     1     5
 -3.4047998743154298E-02 a       206     0     9     1     6
  3.6381320692028436E-02 a       207     0     9     1     7
  2.1011376143864308E-01 a       208     0     9     1     8
  1.2832078830743346E-01 a       209     0     9     1     9
  2.8147492705400720E-02 a       210     0     9     1    10
 -1.3154517039911032E-01 a       211     0     9     1    11
 -1.5943671976690643E-01 a       212     0     9     1    12
 -1.5428083832601558E-01 a       213     0     9     1    13
  6.7421951295879634E-02 a       214     0     9     1    14
  6.3321003651257216E-02 a       215     0     9     1    15
  1.2231132871606674E-01 a       216     0     9     1    16
  7.5160264878535207E-02 a       217     0     9     1    17
  2.3299105091392541E-01 a       218     0     9     1    18
 -2.8368312562045840E-02 a       219     0     9     1    19
  8.8948714307971299E-02 a       220     0     9     1    20
  7.8990130914461623E-02 a       221     0     9     1    21
 -1.2518442742298019E-01 a       222     0     9     1    22
 -1.3219512611673875E-01 a       223     0     9     1    23
 -1.2277966844772271E-01 a       224     0     9     1    24
  1.1122427197880422E-01 a       225     0     9     1    25
 -7.2688620730885639E-02 a       226     0    10     1     1
  2.0009827792126347E-01 a       227     0    10     1     2
  1.1038074194308178E-01 a       228     0    10     1     3
  3.1796512417264983E-01 a       229     0    10     1     4
 -1.5094135675410059E-01 a       230     0    10     1     5
  3.3024310695369728E-02 a       231     0    10     1     6
  1.1933346858972869E-01 a       232     0    10     1     7
 -2.0422959041332220E-01 a       233     0    10     1     8
  2.9432781965666277E-01 a       234     0    10     1     9
 -9.2215062345016544E-02 a       235     0    10     1    10
 -8.7407763031450550E-02 a       236     0    10     1    11
  2.7036704014422822E-02 a       237     0    10     1    12
  3.1474603596610105E-02 a       238     0    10     1    13
  5.5482884627318513E-02 a       239     0    10     1    14
 -1.4347825293749880E-02 a       240     0    10     1    15
 -1.3458007197711955E-01 a       241     0    10     1    16
 -9.6125943153960777E-03 a       242     0    10     1    17
  3.5085206692035652E-02 a       243     0    10     1    18
  7.2381082750076264E-02 a       244     0    10     1    19
 -8.9863692956583408E-03 a       245     0    10     1    20
  9.2595161026532036E-02 a       246     0    10     1    21
  1.3773998447948760E-01 a       247     0    10     1    22
 -8.9613577339239261E-02 a       248     0    10     1    23
  1.8967499688330813E-01 a       249     0    10     1    24
  2.4181776948020675E-01 a       250     0    10     1    25
 -1.0909665328828091E-01 a       251     0    11     1     1
  7.9331787967613740E-02 a       252     0    11     1     2
  1.1973410721391990E-01 a       253     0    11     1     3
  1.1330468833998046E-01 a       254     0    11     1     4
  2.3278947393211513E-02 a       255     0    11     1     5
 -1.7426151716788438E-01 a       256     0    11     1     6
 -1.5280729351845301E-01 a       257     0    11     1     7
 -1.0639748712233948E-01 a       258     0    11     1     8
 -2.0866547975577326E-02 a       259     0    11     1     9
 -1.7077783670407029E-01 a       260     0    11     1    10
 -2.8200104338116755E-01 a       261     0    11     1    11
  1.4439938869507610E-01 a       262     0    11     1    12
 -6.9672883263544039E-02 a       263     0    11     1    13
  7.6710475146990656E-02 a       264     0    11     1    14
 -3.3017994195103238E-03 a       265     0    11     1    15
 -1.6149243990017059E-01 a       266     0    11     1    16
  7.4484009965380349E-02 a       267     0    11     1    17
  9.1748682554990232E-02 a       268     0    11     1    18
 -5.0606018670660793E-02 a       269     0    11     1    19
 -8.6892283435606094E-02 a       270     0    11     1    20
  8.6022918125396849E-02 a       271     0    11     1    21
 -1.2788888761685921E-01 a       272     0    11     1    22
 -1.9491560847933095E-01 a       273     0    11     1    23
 -6.6665909572765275E-02 a       274     0    11     1    24
 -4.4182440447598767E-02 a       275     0    11     1    25
 -1.2425928368286858E-01 a       276     0    12     1     1
  1.3056286105223122E-01 a       277     0    12     1     2
  5.3477545073470391E-02 a       278     0    12     1     3
  9.4466971369085329E-02 a       279     0    12     1     4
 -2.6617651284090782E-01 a       280     0    12     1     5
 -4.5977047956093246E-02 a       281     0    12     1     6
 -8.7707318080939262E-02 a       282     0    12     1     7
 -6.8566369580803768E-02 a       283     0    12     1     8
 -1.2882487461194855E-01 a       284     0    12     1     9
 -7.4247975234676494E-02 a       285     0    12     1    10
  1.0303609323690585E-01 a       286     0    12     1    11
 -4.0854645079338489E-02 a       287     0    12     1    12
  1.6037882999881091E-02 a       288     0    12     1    13
 -4.3166409024435679E-02 a       289     0    12     1    14
 -3.1333803958240531E-03 a       290     0    12     1    15
  1.2251266073882796E-02 a       291     0    12     1    16
  9.9527574277525246E-02 a       292     0    12     1    17
 -1.5135838401873378E-01 a       293     0    12     1    18
  1.3109621833535134E-01 a       294     0    12     1    19
  5.1267799342517524E-02 a       295     0    12     1    20
  2.5167135271255486E-01 a       296     0    12     1    21
 -2.3119586102771186E-01 a       297     0    12     1    22
 -6.0182114975481933E-02 a       298     0    12     1    23
 -1.6387566571193704E-01 a       299     0    12     1    24
 -1.6360967380087982E-01 a       300     0    12     1    25
  4.6007858717992026E-02 a       301     0    13     1     1
  2.0083597607267265E-01 a       302     0    13     1     2
  1.0980884339028413E-01 a       303     0    13     1     3
  3.4493153020849085E-02 a       304     0    13     1     4
  8.0897551410860691E-02 a       305     0    13     1     5
 -2.0547229104928222E-01 a       306     0    13     1     6
  2.2944143288558733E-02 a       307     0    13     1     7
  2.6122434686494628E-01 a       308     0    13     1     8
  1.1105862757737969E-01 a       309     0    13     1     9
  6.0729657528617087E-02 a       310     0    13     1    10
  8.9655214137387210E-02 a       311     0    13     1    11
  3.5225849265706299E-01 a       312     0    13     1    12
  9.0853643388048369E-02 a       313     0    13     1    13
  2.6391067036242699E-01 a       314     0    13     1    14
  2.1886326344750337E-01 a       315     0    13     1    15
  1.4281246116483604E-01 a       316     0    13     1    16
  2.7188597658249575E-02 a       317     0    13     1    17
 -5.7294463402235117E-02 a       318     0    13     1    18
 -1.8526148359320677E-01 a       319     0    13     1    19
 -9.2969377833357181E-02 a       320     0    13     1    20
 -1.0783916113443792E-01 a       321     0    13     1    21
 -9.3058686881549002E-02 a       322     0    13     1    22
 -2.6443374906766731E-01 a       323     0    13     1    23
  2.4893814839390208E-01 a       324     0    13     1    24
 -1.8967899216831732E-01 a       325     0    13     1    25
 -2.2253149006329290E-01 a       326     0    14     1     1
  1.1547158275650490E-01 a       327     0    14     1     2
  9.3259222300606973E-02 a       328     0    14     1     3
 -1.4615895536997461E-01 a       329     0    14     1     4
  5.0209937387933508E-02 a       330     0    14     1     5
  1.8904774285804721E-01 a       331     0    14     1     6
 -6.6197010977091311E-02 a       332     0    14     1     7
 -9.0665809961417071E-02 a       333     0    14     1     8
  1.4200703437296469E-01 a       334     0    14     1     9
  3.7121296290492506E-01 a       335     0    14     1    10
  5.3190745739859269E-02 a       336     0    14     1    11
 -4.8569846606044059E-01 a       337     0    14     1    12
  1.1152329566531165E-01 a       338     0    14     1    13
 -5.1651539501600542E-02 a       339     0    14     1    14
  4.2181422231272012E-02 a       340     0    14     1    15
 -2.1395275868771399E-01 a       341     0    14     1    16
  1.3268246410696868E-02 a       342     0    14     1    17
 -2.5868865441670741E-01 a       343     0    14     1    18
 -3.6690864004174727E-02 a       344     0    14     1    19
 -1.4812897593897784E-01 a       345     0    14     1    20
  2.7012276994561782E-02 a       346     0    14     1    21
 -9.9227183702622720E-02 a       347     0    14     1    22
  1.4036877311220558E-01 a       348     0    14     1    23
  5.3006835874436838E-02 a       349     0    14     1    24
  8.8046449321613179E-02 a       350     0    14     1    25
 -9.7029618979165483E-02 a       351     0    15     1     1
 -1.3736927761326587E-01 a       352     0    15     1     2
  1.6509498459293792E-01 a       353     0    15     1     3
 -5.6333290030225351E-02 a       354     0    15     1     4
 -3.5394244605375061E-02 a       355     0    15     1     5
 -1.4774929914802476E-01 a       356     0    15     1     6
 -1.3494401319825289E-01 a       357     0    15     1     7
  8.6789942083462746E-02 a       358     0    15     1     8
 -1.3040439029877738E-02 a       359     0    15     1     9
 -2.2208991232130712E-01 a       360     0    15     1    10
  2.7435102683750079E-01 a       361     0    15     1    11
  1.6046479139935940E-01 a       362     0    15     1    12
  2.2972581828521493E-01 a       363     0    15     1    13
  6.5930666982313951E-02 a       364     0    15     1    14
 -3.8317803319837203E-02 a       365     0    15     1    15
  3.2057991336559566E-02 a       366     0    15     1    16
 -9.2751139179431188E-02 a       367     0    15     1    17
  9.6891524542105437E-02 a       368     0    15     1    18
  1.4493837575950058E-01 a       369     0    15     1    19
 -1.0105264794089258E-01 a       370     0    15     1    20
 -1.1198964315230546E-01 a       371     0    15     1    21
  1.6583606229187395E-01 a       372     0    15     1    22
 -1.0675836895167601E-01 a       373     0    15     1    23
  1.8499655440317048E-01 a       374     0    15     1    24
 -1.7388817553282837E-01 a       375     0    15     1    25
 -1.7703063123470347E-01 a       376     0    16     1     1
  4.8296534479932797E-02 a       377     0    16     1     2
 -1.0492191396999441E-01 a       378     0    16     1     3
  8.8257865914540906E-02 a       379     0    16     1     4
  1.6649155082274872E-01 a       380     0    16     1     5
  4.8730092832395093E-02 a       381     0    16     1     6
  1.2986483628059337E-01 a       382     0    16     1     7
 -1.4679891281388391E-01 a       383     0    16     1     8
  2.1400680166219857E-01 a       384     0    16     1     9
 -1.1916609358300287E-01 a       385     0    16     1    10
 -5.8571736462971348E-02 a       386     0    16     1    11
  1.2438473352296896E-01 a       387     0    16     1    12
  3.1454797747120823E-02 a       388     0    16     1    13
  2.9011339802201101E-02 a       389     0    16     1    14
  4.9926179357939714E-02 a       390     0    16     1    15
 -1.9626676465954611E-02 a       391     0    16     1    16
 -1.5915862134327433E-01 a       392     0    16     1    17
  1.4751283509810273E-01 a       393     0    16     1    18
  1.3127012556590650E-01 a       394     0    16     1    19
  1.3184039981835327E-01 a       395     0    16     1    20
 -4.6987740866032100E-02 a       396     0    16     1    21
 -8.0880810897766803E-02 a       397     0    16     1    22
  3.3764729792497575E-02 a       398     0    16     1    23
 -1.2600982521320767E-01 a       399     0    16     1    24
  1.8321037554933553E-01 a       400     0    16     1    25
 -9.5823336941928211E-02 a       401     0    17     1     1
 -6.7725975124317758E-02 a       402     0    17     1     2
 -1.5869991804621186E-01 a       403     0    17     1     3
 -6.3427602995128618E-02 a       404     0    17     1     4
 -2.5258169591828371E-02 a       405     0    17     1     5
  2.1730031036458844E-01 a       406     0    17     1     6
 -5.5781355245859740E-02 a       407     0    17     1     7
 -3.1368931956843836E-02 a       408     0    17     1     8
  6.6815341370956544E-02 a       409     0    17     1     9
 -2.7232471694516425E-01 a       410     0    17     1    10
 -1.2450449701648310E-01 a       411     0    17     1    11
  3.1270830385487797E-01 a       412     0    17     1    12
  1.3281888947244247E-01 a       413     0    17     1    13
  2.2245531785355982E-01 a       414     0    17     1    14
 -1.4078162313171455E-01 a       415     0    17     1    15
  1.2370267155570594E-01 a       416     0    17     1    16
 -8.7818985204985382E-03 a       417     0    17     1    17
  1.3393395359186083E-01 a       418     0    17     1    18
  1.0771494789404663E-01 a       419     0    17     1    19
 -7.5162248226815831E-02 a       420     0    17     1    20
 -1.0715049320065403E-01 a       421     0    17     1    21
 -1.7275524727531108E-01 a       422     0    17     1    22
 -3.6520546216336253E-01 a       423     0    17     1    23
 -3.8646735675029388E-02 a       424     0    17     1    24
 -2.4508315530573893E-01 a       425     0    17     1    25
 -1.7821673357723949E-01 a       426     0    18     1     1
  1.6831862302045703E-01 a       427     0    18     1     2
  1.9636631918273320E-02 a       428     0    18     1     3
 -7.9391016380147034E-02 a       429     0    18     1     4
 -2.2935582309077740E-01 a       430     0    18     1     5
 -2.9415858649004506E-01 a       431     0    18     1     6
 -1.2374565682117157E-01 a       432     0    18     1     7
 -9.1512524879329135E-02 a       433     0    18     1     8
  1.5812224004337519E-01 a       434     0    18     1     9
  9.7327240099983170E-02 a       435     0    18     1    10
 -1.1502786221041920E-02 a       436     0    18     1    11
 -4.5048074055573745E-01 a       437     0    18     1    12
 -3.4649020117079647E-02 a       438     0    18     1    13
 -1.9282533798888193E-01 a       439     0    18     1    14
  1.7464078428218444E-02 a       440     0    18     1    15
 -7.5023902042420557E-02 a       441     0    18     1    16
  1.4026266228765735E-01 a       442     0    18     1    17
 -1.9715043432125037E-01 a       443     0    18     1    18
 -1.6751619508474348E-02 a       444     0    18     1    19
 -2.9065161566296131E-02 a       445     0    18     1    20
 -7.0910514811866263E-02 a       446     0    18     1    21
  3.4052503837620311E-02 a       447     0    18     1    22
  4.1752741931989756E-01 a       448     0    18     1    23
  3.4108504215461516E-01 a       449     0    18     1    24
 -1.9352704759836209E-01 a       450     0    18     1    25
  1.7681647149523405E-01 a       451     0    19     1     1
 -1.1511443553911979E-01 a       452     0    19     1     2
 -9.9187007115709436E-02 a       453     0    19     1     3
 -5.9918145398976476E-02 a       454     0    19     1     4
 -1.0772561561624446E-01 a       455     0    19     1     5
  3.0414759286313581E-01 a       456     0    19     1     6
  1.2195314489245149E-01 a       457     0    19     1     7
  8.6318151991972250E-02 a       458     0    19     1     8
  1.1578379716112017E-02 a       459     0    19     1     9
  1.3479754462969415E-01 a       460     0    19     1    10
  3.0987132115523685E-02 a       461     0    19     1    11
  1.5272616724542332E-01 a       462     0    19     1    12
 -1.0324129340818393E-01 a       463     0    19     1    13
  1.7704080899123184E-01 a       464     0    19     1    14
  1.8906834513996160E-01 a       465     0    19     1    15
 -1.6027458461214295E-01 a       466     0    19     1    16
 -2.0756744688498693E-01 a       467     0    19     1    17
  3.0450406839752552E-02 a       468     0    19     1    18
 -8.0122445794090960E-02 a       469     0    19     1    19
  9.9184546715483698E-02 a       470     0    19     1    20
  6.3619919575541889E-02 a       471     0    19     1    21
 -8.6023347464188396E-02 a       472     0    19     1    22
 -1.5026502751582638E-01 a       473     0    19     1    23
  6.6468291024223150E-02 a       474     0    19     1    24
  3.4874837235691382E-02 a       475     0    19     1    25
 -3.9506790638877770E-02 a       476     0    20     1     1
  1.2507982350446600E-01 a       477     0    20     1     2
  9.8891441754597655E-03 a       478     0    20     1     3
 -6.8481685049772090E-02 a       479     0    20     1     4
 -2.5105961597551224E-01 a       480     0    20     1     5
  4.5733079294122680E-02 a       481     0    20     1     6
  1.3450641146691303E-01 a       482     0    20     1     7
 -2.0856960310663269E-01 a       483     0    20     1     8
 -8.8550910772763308E-02 a       484     0    20     1     9
  1.5440736572734123E-01 a       485     0    20     1    10
 -1.0819879303020284E-01 a       486     0    20     1    11
 -4.0677741145493601E-01 a       487     0    20     1    12
 -2.2236892915766496E-01 a       488     0    20     1    13
 -9.1586604165321744E-02 a       489     0    20     1    14
 -1.4751254322358337E-01 a       490     0    20     1    15
  1.1256613904193857E-01 a       491     0    20     1    16
  1.3533045809501315E-01 a       492     0    20     1    17
  1.4736437804418034E-01 a       493     0    20     1    18
 -8.9349314518707132E-02 a       494     0    20     1    19
 -4.4883851686914451E-02 a       495     0    20     1    20
 -1.2794129253270023E-01 a       496     0    20     1    21
 -6.9853387984665297E-02 a       497     0    20     1    22
  2.3093501031647642E-01 a       498     0    20     1    23
  1.0034424731705806E-01 a       499     0    20     1    24
 -1.9737137072924862E-01 a       500     0    20     1    25
  8.3216110323196674E-02 a       501     0    21     1     1
 -5.5089335659685754E-02 a       502     0    21     1     2
  1.6095952277240821E-01 a       503     0    21     1     3
  1.2604669356360806E-01 a       504     0    21     1     4
 -1.3620734987800864E-02 a       505     0    21     1     5
 -2.0695891669621766E-01 a       506     0    21     1     6
 -1.1678892679632417E-01 a       507     0    21     1     7
  3.5951396178813855E-01 a       508     0    21     1     8
  2.0932563800788759E-01 a       509     0    21     1     9
  1.7398261913708375E-02 a       510     0    21     1    10
  1.1014808542111355E-01 a       511     0    21     1    11
  3.2708294549959016E-01 a       512     0    21     1    12
  9.5392444397129378E-02 a       513     0    21     1    13
  1.1352501354843086E-01 a       514     0    21     1    14
  1.5554642210294367E-01 a       515     0    21     1    15
 -1.8504189022335948E-01 a       516     0    21     1    16
 -3.8965355533863111E-01 a       517     0    21     1    17
  4.1708783285734331E-02 a       518     0    21     1    18
 -8.5028778245972048E-02 a       519     0    21     1    19
 -2.2550438901714348E-01 a       520     0    21     1    20
  2.2177863060260251E-02 a       521     0    21     1    21
  1.9644744734691802E-01 a       522     0    21     1    22
 -3.9651481043745740E-01 a       523     0    21     1    23
  3.2509185105844128E-02 a       524     0    21     1    24
  1.6100874304351645E-01 a       525     0    21     1    25
 -1.2315446366980236E-01 a       526     0    22     1     1
  1.3737595652209378E-01 a       527     0    22     1     2
 -2.5781580271781793E-02 a       528     0    22     1     3
  1.0618115641571084E-01 a       529     0    22     1     4
 -3.7180055394578942E-02 a       530     0    22     1     5
