################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.0528450144545229E-01 a       117     0     5     1    17
 -2.4936215511949456E-01 a       118     0     5     1    18
  1.7011319080454290E-02 a       119     0     5     1    19
  9.9815443497700274E-02 a       120     0     5     1    20
 -1.2729363638357580E-01 a       121     0     5     1    21
  2.4988949867061114E-01 a       122     0     5     1    22
  1.3211982380383286E-01 a       123     0     5     1    23
 -1.8436465623282352E-02 a       124     0     5     1    24
  1.7517829712452260E-01 a       125     0     5     1    25
  1.6064850334991926E-01 a       126     0     6     1     1
  1.6395956388428221E-01 a       127     0     6     1     2
  3.7660777199187748E-03 a       128     0     6     1     3
 -1.3905268417922803E-01 a       129     0     6     1     4
 -2.0130055400478800E-01 a       130     0     6     1     5
 -7.4663909581007576E-02 a       131     0     6     1     6
  1.2480133264573409E-01 a       132     0     6     1     7
 -3.2524566140770296E-02 a       133     0     6     1     8
  2.4691807502017835E-01 a       134     0     6     1     9
 -1.5334477494235813E-01 a       135     0     6     1    10
  9.5321650622150172E-02 a       136     0     6     1    11
 -1.5754466360014882E-01 a       137     0     6     1    12
  9.9078144013117389E-02 a       138     0     6     1    13
  2.1502943629337343E-01 a       139     0     6     1    14
  2.1903085735405822E-01 a       140     0     6     1    15
 -2.6597698113340235E-01 a       141     0     6     1    16
  1.7022063218697939E-01 a       142     0     6     1    17
 -2.6749096260781624E-01 a       143     0     6     1    18
 -1.2107908447205269E-01 a       144     0     6     1    19
  5.9062181714628362E-02 a       145     0     6     1    20
 -2.6299504512979205E-01 a       146     0     6     1    21
