################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         22   6.7524269545773563E-02   9.7732689702063447E-01   5.5911829338742802E-01   9.9561497441942634E-02
         1         23   0.0000000000000000E+00   3.4697310029412454E-01   4.2377805437802188E-02   5.6513307815355046E-02
         1         24   0.0000000000000000E+00   2.6627073472088886E-01   3.5536523111429165E-02   4.2837782707704296E-02
         1         25   2.4492589506812396E-01   1.2084880052328208E+00   7.9173555762377423E-01   1.1208194227429245E-01
         1         26   8.0028958391058821E-02   6.9825549901781159E-01   4.1707502824799986E-01   6.6932748375749709E-02
         1         27   0.0000000000000000E+00   2.1113258761322001E-01   2.5243788394050365E-02   2.8896949072947119E-02
         1         28   0.0000000000000000E+00   1.9363558181238774E-01   2.6691931415389957E-02   2.9968874730234379E-02
         1         29   1.7925537010913017E-01   6.8447891953753093E-01   4.3751777463381458E-01   5.9662403392892777E-02
         1         30   4.2159286383257236E-02   3.5796259484395937E-01   2.1582181985776638E-01   3.4816089836132179E-02
         1         31   0.0000000000000000E+00   1.2167257661637235E-01   1.2556431960859024E-02   1.3767047861565193E-02
         1         32   0.0000000000000000E+00   1.0715283364537923E-01   1.4479795454955004E-02   1.5238252173099879E-02
         1         33   6.9444985888186442E-02   2.6064777843931430E-01   1.6863213004214436E-01   2.3008568628347534E-02
         1         34   2.3845509623914990E-02   1.4597230837702665E-01   8.1727684718275059E-02   1.3962282746622375E-02
         1         35   0.0000000000000000E+00   4.8324967386538985E-02   5.2954605443217154E-03   5.6890489140505101E-03
         1         36   0.0000000000000000E+00   3.8323694292465960E-02   5.4768427187630135E-03   5.6051714046766628E-03
         1         37   1.4937732472454487E-02   6.5099393603994207E-02   4.2216239756461958E-02   5.9271851973902393E-03
         1         38   5.3909681798462381E-03   3.7904974508991288E-02   2.0809857528877432E-02   3.8749684918785070E-03
         1         39   0.0000000000000000E+00   1.0925414998555497E-02   1.4588939346565570E-03   1.5206421049206449E-03
         1         40   0.0000000000000000E+00   9.4154042304088765E-03   1.3679515726459435E-03   1.4085691769167251E-03
         1         41   7.1414554204253728E-04   6.7417754631246968E-02   2.2323419277523255E-02   8.1203418755184491E-03
         1         42   5.9506863830469650E-03   9.9511199282861854E-02   4.1695978822737373E-02   1.2759757360647554E-02
         1         43   0.0000000000000000E+00   2.0784559338551094E-02   8.8678921213198214E-04   1.4367585303383557E-03
         1         44   0.0000000000000000E+00   2.0155238703515654E-02   1.2795686780564047E-03   2.3616686432589968E-03
         1         45   3.8774028967327199E-04   3.5611967604223423E-02   1.4099642409767585E-02   5.8009664655558641E-03
         1         46   0.0000000000000000E+00   1.7135314117890117E-02   7.8914352720151765E-04   1.4192908474347842E-03
         1         47   0.0000000000000000E+00   1.9251677187316771E-02   1.2786313520163348E-03   2.3785789088364138E-03
         1         48   0.0000000000000000E+00   8.8024956194456818E-04   1.0865078282157952E-05   4.4025859109443795E-05
         1         49   0.0000000000000000E+00   3.3427726999505380E-03   4.1960436419514545E-05   1.4573162316155620E-04
         1         50   0.0000000000000000E+00   1.5141524717592252E-03   4.3809049650158657E-06   3.4427595806513956E-05
         1         51   2.8628120145804603E-03   1.5515660067656592E-01   5.8929906683299324E-02   1.7986246109853447E-02
         1         52   4.7352411778073804E-02   2.9239441452302523E-01   1.5219635302189521E-01   3.2139516574268952E-02
         1         53   0.0000000000000000E+00   2.8071008350848081E-02   1.9632554244232879E-03   2.8035220731264104E-03
         1         54   0.0000000000000000E+00   2.9876449595018551E-02   3.1237076560409688E-03   4.3910684212019567E-03
         1         55   7.9698069823608394E-04   3.4881867360506552E-02   1.3601236943523476E-02   4.1162145661058983E-03
         1         56   0.0000000000000000E+00   3.2534220077534037E-02   2.6595386679538970E-03   4.1713046345703119E-03
         1         57   0.0000000000000000E+00   9.4993531071663282E-03   9.1730724869943953E-04   1.1468726866543913E-03
         1         58   0.0000000000000000E+00   1.5605446227928523E-03   1.8964628009029976E-05   7.7746531969682291E-05
         1         59   0.0000000000000000E+00   6.1915169212565912E-03   1.1406835137304120E-04   3.5130822569144740E-04
         1         60   0.0000000000000000E+00   1.6699264267498407E-03   5.8712057248838617E-06   4.3835499162674671E-05
         1         61   7.6091963438352020E-05   1.7695873267487481E-02   4.1805301219084408E-03   1.9120583948913092E-03
         1         62   2.1666130873418941E-04   3.5562046542502647E-02   1.1624921781532262E-02   5.3922745393068230E-03
         1         63   0.0000000000000000E+00   7.4415513022098425E-03   8.6268780706118413E-05   1.8384908189764641E-04
         1         64   0.0000000000000000E+00   7.8949889119266144E-03   3.2970836059749800E-04   7.7655059570107179E-04
         1         65   2.1552525866100566E-05   2.1933521896478948E-02   7.3771109182426209E-03   4.4167681435837818E-03
