################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.5279896463417994E-02 a         1     0     1     1     1
 -2.0422349287641570E-02 a         2     0     1     1     2
  5.3686470238982320E-01 a         3     0     1     1     3
  4.4495518888667140E-01 a         4     0     1     1     4
 -6.5635650972123571E-01 a         5     0     1     1     5
 -7.4503799645377722E-01 a         6     0     1     1     6
 -2.8693824748775792E-01 a         7     0     1     1     7
 -1.1010717113950268E-01 a         8     0     1     1     8
 -4.3182302434417136E-01 a         9     0     1     1     9
  5.3549808538293747E-02 a        10     0     1     1    10
 -3.1154174595345291E-01 a        11     0     1     1    11
 -9.6365304496062998E-01 a        12     0     1     1    12
  7.8941146072227047E-02 a        13     0     1     1    13
 -3.0768218748560122E-01 a        14     0     1     1    14
 -8.9098392441091856E-01 a        15     0     1     1    15
 -1.1380402257851541E-01 a        16     0     1     1    16
  6.4199159090371316E-01 a        17     0     1     1    17
  3.1373009111257472E-01 a        18     0     1     1    18
 -4.5802454546899862E-01 a        19     0     1     1    19
 -2.5506396669999470E-01 a        20     0     1     1    20
  1.7060733771494468E-01 a        21     0     1     1    21
  3.5978025679234260E-01 a        22     0     1     1    22
  2.5405904424150244E-01 a        23     0     1     1    23
 -3.2910667629887275E-01 a        24     0     1     1    24
 -2.4550150313351246E-01 a        25     0     1     1    25
 -4.5693605262787246E-01 a        26     0     2     1     1
 -2.6277959358227077E-01 a        27     0     2     1     2
  8.6623956411675709E-02 a        28     0     2     1     3
  9.8563371670316133E-02 a        29     0     2     1     4
 -6.4622205629631813E-01 a        30     0     2     1     5
  4.5835941137404190E-02 a        31     0     2     1     6
  2.2304000277640640E-01 a        32     0     2     1     7
  3.6822140424455113E-01 a        33     0     2     1     8
 -9.9430679574135594E-02 a        34     0     2     1     9
  9.7912869844788503E-02 a        35     0     2     1    10
  2.8341486788866371E-01 a        36     0     2     1    11
  2.3756230798263053E-01 a        37     0     2     1    12
 -1.5222726167406128E-01 a        38     0     2     1    13
 -1.2540264295030487E-01 a        39     0     2     1    14
 -4.9225043973604765E-01 a        40     0     2     1    15
  4.6493626944883004E-01 a        41     0     2     1    16
 -1.7631706342717982E-01 a        42     0     2     1    17
 -3.2928493587392688E-01 a        43     0     2     1    18
  2.1620016941210218E-01 a        44     0     2     1    19
  3.9242981409188513E-02 a        45     0     2     1    20
  1.3002830588931031E+00 a        46     0     2     1    21
 -6.0814249348257332E-01 a        47     0     2     1    22
 -2.8033992243628129E-02 a        48     0     2     1    23
  1.7406898136624041E-01 a        49     0     2     1    24
  1.2671773881757106E-01 a        50     0     2     1    25
  1.9447334188739099E-01 a        51     0     3     1     1
  1.5540058201411544E-01 a        52     0     3     1     2
  1.3074740021997938E-01 a        53     0     3     1     3
  7.0320382963495506E-02 a        54     0     3     1     4
 -5.2320791872714253E-02 a        55     0     3     1     5
 -4.1435198207875695E-02 a        56     0     3     1     6
  2.4629411892755640E-01 a        57     0     3     1     7
  1.2734704893373752E-01 a        58     0     3     1     8
 -7.1873525308000064E-02 a        59     0     3     1     9
 -3.3882018361369323E-02 a        60     0     3     1    10
 -2.6227104233154180E-01 a        61     0     3     1    11
  2.5289555347065157E-01 a        62     0     3     1    12
 -6.8150263174054622E-03 a        63     0     3     1    13
 -1.5270000833164496E-01 a        64     0     3     1    14
 -9.5449226102201495E-02 a        65     0     3     1    15
 -3.2423855617465197E-01 a        66     0     3     1    16
  1.9834033563704132E-01 a        67     0     3     1    17
  1.1533422255813068E-01 a        68     0     3     1    18
 -2.0776452806278037E-01 a        69     0     3     1    19
 -1.1569690838007832E-01 a        70     0     3     1    20
 -5.8958071954672210E-02 a        71     0     3     1    21
 -3.7707514348395754E-02 a        72     0     3     1    22
  1.1307725267456238E-01 a        73     0     3     1    23
 -8.8879342468752638E-04 a        74     0     3     1    24
 -2.2358866127697674E-01 a        75     0     3     1    25
  1.9326196089140052E-01 a        76     0     4     1     1
  4.4091475467199041E-02 a        77     0     4     1     2
  3.2616242521201999E-01 a        78     0     4     1     3
 -6.1812762817183148E-02 a        79     0     4     1     4
 -1.3717826324123567E-01 a        80     0     4     1     5
  2.0162493110880561E-01 a        81     0     4     1     6
 -3.2626240857861655E-01 a        82     0     4     1     7
  2.9208939965015796E-02 a        83     0     4     1     8
  2.2836249170393155E-01 a        84     0     4     1     9
 -3.1801552340977263E-01 a        85     0     4     1    10
 -1.4393423738879857E-01 a        86     0     4     1    11
  3.3989036192469457E-02 a        87     0     4     1    12
  1.7073163343236447E-01 a        88     0     4     1    13
 -2.7022246153552520E-01 a        89     0     4     1    14
 -5.2870397735157844E-02 a        90     0     4     1    15
  1.7607228258849222E-01 a        91     0     4     1    16
  6.8239077403506238E-02 a        92     0     4     1    17
 -5.5266845911506587E-02 a        93     0     4     1    18
 -1.2816070575712504E-01 a        94     0     4     1    19
 -9.9078846543394199E-03 a        95     0     4     1    20
  3.6345666815891758E-01 a        96     0     4     1    21
 -2.0681533838880028E-01 a        97     0     4     1    22
 -9.4907462995627176E-02 a        98     0     4     1    23
  1.3970045873544287E-01 a        99     0     4     1    24
 -4.0113150036064915E-02 a       100     0     4     1    25
  5.3701290733041307E-01 a       101     0     5     1     1
  4.7709147949813779E-01 a       102     0     5     1     2
 -1.5330386371869448E-01 a       103     0     5     1     3
 -1.5634153728462363E-01 a       104     0     5     1     4
 -1.6781017018392796E-01 a       105     0     5     1     5
 -3.9136793355639334E-02 a       106     0     5     1     6
  2.1067624987968905E-01 a       107     0     5     1     7
  9.8215842663145780E-01 a       108     0     5     1     8
  2.3974400808843818E-01 a       109     0     5     1     9
 -5.8544719217590813E-01 a       110     0     5     1    10
 -1.8548069293731699E+00 a       111     0     5     1    11
 -5.2893948132569557E-01 a       112     0     5     1    12
  5.3760311574072184E-02 a       113     0     5     1    13
  8.8094218724807549E-01 a       114     0     5     1    14
  4.1994911318344602E-01 a       115     0     5     1    15
 -4.7756543697740539E-01 a       116     0     5     1    16
 -5.9387872286880694E-01 a       117     0     5     1    17
 -6.3462888794290762E-01 a       118     0     5     1    18
  1.8332609617704607E-01 a       119     0     5     1    19
 -5.4354195229454882E-01 a       120     0     5     1    20
 -3.8330529889274345E-01 a       121     0     5     1    21
  5.4897282571263528E-02 a       122     0     5     1    22
  7.0799273615293812E-02 a       123     0     5     1    23
  3.0209621078849797E-01 a       124     0     5     1    24
  6.1810002671333020E-01 a       125     0     5     1    25
  1.1581141908975838E+00 a       126     0     6     1     1
  5.8803246273862164E-01 a       127     0     6     1     2
  5.2631425262422493E-01 a       128     0     6     1     3
 -1.8241514062422653E-01 a       129     0     6     1     4
 -7.8827853179748858E-02 a       130     0     6     1     5
 -3.2602265221580662E-01 a       131     0     6     1     6
 -2.9078123679261064E-01 a       132     0     6     1     7
 -3.6749339237559103E-01 a       133     0     6     1     8
  3.8925527707245899E-01 a       134     0     6     1     9
  5.0265646855980373E-01 a       135     0     6     1    10
  3.7408069067779874E-02 a       136     0     6     1    11
 -2.5844539317826776E-01 a       137     0     6     1    12
